id,paper,r,n,approach,construct
1,Chanetal2015,-0.72,25,process,EF
2,Chanetal2015,-0.51,25,process,EF
3,Chanetal2015,-0.5,25,process,EF
4,Chanetal2015,-0.81,25,process,EF
5,Chanetal2015,-0.17,25,process,EF
6,Chanetal2015,-0.3,25,process,EF
7,Chanetal2015,-0.53,25,process,EF
8,Chanetal2015,-0.37,25,process,EF
9,Chooi2011,-0.036,9,process,EF
10,Chooi2011,-0.48,13,process,EF
11,Cornoldietal2015,-0.44,135,both,EF
12,Fellmanetal2018,-0.62,25,process,EF
13,Fosteretal2017,-0.26,30,process,EF
14,Fosteretal2017,-0.15,30,process,EF
15,Fosteretal2017,-0.34,36,process,EF
16,Fosteretal2017,0.06,36,process,EF
17,Gadeetal2017,-0.86,10,process,EF
18,Gadeetal2017,-0.71,16,process,EF
19,Gadeetal2017,-0.95,10,process,EF
20,Gadeetal2017,-0.74,10,process,EF
21,Gunnetal2018,-0.0047,70,process,EF
22,Hickey2018,0.05,5,process,EF
23,Hickey2018,0.7,5,process,EF
24,Jonesetal2018,0.34,41,process,EF
25,Karbachetal2017,-0.81,126,process,EF
26,Karbachetal2015,-0.39,14,process,EF
27,Lövdénetal2012,-0.85,50,strategy,EP
28,Lövdénetal2012,-0.99,29,strategy,EP
29,Lövdénetal2012,-0.9,29,strategy,EP
30,McKitricketal1999,-0.33,224,strategy,EP
31,McKitricketal1999,-0.44,224,strategy,EP
32,O'Brienetal2013,-0.63,11,process,EF
33,DeSimonietal2018,-0.4,59,process,EF
34,DeSimonietal2018,-0.26,59,process,EF
35,DeSimonietal2018,-0.52,59,process,EF
36,DeSimonietal2018,-0.58,59,process,EF
37,DeSimonietal2018,-0.28,66,process,EF
38,DeSimonietal2018,-0.48,66,process,EF
39,DeSimonietal2018,-0.15,65,process,EF
40,DeSimonietal2018,0.05,66,process,EF
41,Singeretal2003,0.14,96,strategy,EP
42,Stepankovaetal2013,-0.01,20,process,EF
43,Stepankovaetal2013,0.02,20,process,EF
44,StrobachHuestegge2017,0.416,76,process,EF
45,StrobachHuestegge2017,0.655,76,process,EF
46,StrobachHuestegge2017,0.138,76,process,EF
47,StrobachHuestegge2017,0.392,76,process,EF
48,StrobachHuestegge2017,0.273,76,process,EF
49,StrobachHuestegge2017,0.831,76,process,EF
50,Vermeijetal2017,0.03,21,process,EF
51,Vermeijetal2017,-0.58,21,process,EF
52,Vermeijetal2017,-0.63,20,process,EF
53,Vermeijetal2017,-0.39,20,process,EF
54,Vermeijetal2017,-0.16,14,process,EF
55,Vermeijetal2017,-0.3,14,process,EF
56,Vermeijetal2017,-0.22,10,process,EF
57,Vermeijetal2017,-0.5,10,process,EF
58,VolckaertNoël2015,-0.546,24,process,EF
59,VolckaertNoël2016,-0.72,16,process,EF
60,vonBastianOberauer2013,-0.27,30,process,EF
61,vonBastianOberauer2013,-0.54,30,process,EF
62,vonBastianOberauer2013,-0.79,31,process,EF
63,deVriesetal2018,-0.248,40,process,EF
64,Weickeretal2018,-0.13,20,process,EF
65,Weickeretal2018,-0.25,20,process,EF
66,Weickeretal2018,-0.6,20,process,EF
67,Weickeretal2018,-0.31,20,process,EF
68,Weickeretal2018,-0.63,20,process,EF
69,Weickeretal2018,-0.59,20,process,EF
70,Weickeretal2018,-0.53,20,process,EF
71,Weickeretal2018,-0.55,20,process,EF
72,Weickeretal2018,-0.56,19,process,EF
73,Zinkeetal2011,-0.66,20,process,EF
74,Zinkeetal2011,-0.59,20,process,EF
75,Zinkeetal2011,-0.65,20,process,EF
76,Zinkeetal2011,-0.89,20,process,EF
77,Zinkeetal2011,-0.8,20,process,EF
78,Zinkeetal2014,-0.46,40,process,EF
79,Zinkeetal2014,-0.17,40,process,EF
80,Zinkeetal2014,-0.32,40,process,EF
81,Zinkeetal2014,0.1,40,process,EF
82,Zinkeetal2014,-0.64,40,process,EF
83,Zinkeetal2014,-0.3,40,process,EF
